99,陳堯咨,子,59,陳榮古,
99,陳堯咨,子,85,陳述古,
99,陳堯咨,父,3083,陳省華,
99,陳堯咨,女兒,5393,陳氏(賈昌朝妻),
99,陳堯咨,子,14210,陳博古,
99,陳堯咨,母,118924,馮氏(陳堯叟母),
99,陳堯咨,兄,98,陳堯佐,陳堯佐
99,陳堯咨,兄,97,陳堯叟,據宋史列傳CBDB宋史分傳#468
101,陳兗,父,14211,陳知祥,
102,陳彥恭,父,7129,陳侗,
102,陳彥恭,子,15052,陳袤,
103,陳彥武,父,55,陳繹,
104,陳祐之,女兒,5246,陳氏(趙仲全妻),
104,陳祐之,父,26496,陳易,
105,陳祐甫,父,26496,陳易,
105,陳祐甫,子,47585,陳遘,據宋史列傳CBDB宋史分傳#1731
108,陳越,父,15040,陳夏,
108,陳越,兄,15041,陳咸,
109,程昌弼,兄弟,110,程昌寓,
110,程昌寓,兄弟,109,程昌弼,
111,程節,弟,131,程筠,
111,程節,子,7412,程鄰,
112,程之邵,子,124,程唐,
112,程之邵,父,3100,程濬,
113,程之才,弟,114,程之元,
113,程之才,父,3100,程濬,
114,程之元,兄,113,程之才,
114,程之元,父,3100,程濬,
114,程之元,子,26421,程庭,
116,程戡,父,7008,程坦,
116,程戡,母,49128,王氏(程戡母),
116,程戡,妻子,49129,曹氏(程戡妻),
117,程克俊,子,15762,程相,
117,程克俊,父,15782,程逵,
117,程克俊,妻子,49169,朱氏(程克俊妻),
118,程琳,妻子,5009,陳氏(程琳妻),
118,程琳,女兒,5038,程氏(韓縝妻),
118,程琳,父,15697,程元白,
118,程琳,兄,22274,程琬,
118,程琳,妻子,49116,陳氏(程琳妻),
119,程邁,父,15565,程宗顏,
122,程師孟,妻子,5381,賀氏(程師孟妻),
122,程師孟,父,15352,程立信,
122,程師孟,父,49182,程某,
123,程嗣恭,父,118,程琳,
124,程唐,父,112,程之邵,
124,程唐,子,3110,程敦書,
124,程唐,子,13803,程敦厚,
128,程瑀,父,15440,程拊,
128,程瑀,父,49122,程柟,
128,程瑀,母,49123,金氏(程柟妻),
128,程瑀,妻子,49124,沈氏(程瑀妻),
131,程筠,兄,111,程節,
131,程筠,子,15780,程祁,
134,戚綸,父,3031,戚同文(字),
134,戚綸,子,15850,戚舜舉,
134,戚綸,子,15851,戚舜能,
134,戚綸,子,15852,戚舜賓,
134,戚綸,兄,15848,戚維,據宋史列傳CBDB宋史分傳#659
136,強浚明,父,7138,強至,
136,強浚明,弟,7139,強淵明,
136,強浚明,子,16195,強行父,
138,喬執中,父,36106,喬A,
138,喬執中,母,49021,孫氏(喬執中母),
142,錢曖,父,8006,錢惟演,
145,錢勰,父,7010,錢彥遠,
145,錢勰,弟,13104,錢龢,
146,錢易,兄,3035,錢昆,
146,錢易,父,3039,錢倧,
146,錢易,子,7010,錢彥遠,
146,錢易,子,13109,錢明逸,
146,錢易,兄,8006,錢惟演,據宋史列傳CBDB宋史分傳#722
146,錢易,妻子,119389,盛氏(錢易妻),據宋史列傳CBDB宋史分傳#722
147,錢公輔,父,16173,錢冶,
147,錢公輔,子,18843,錢世雄,
149,錢時敏,父,16274,錢戩,
150,錢端禮,父,7140,錢忱,
150,錢端禮,妻子,52345,高氏(錢端禮妻),
152,錢遹,子,16280,錢楚材,
154,秦昌時,弟,16022,秦昌齡,
156,秦羲,父,16020,秦承裕,
159,秦定,父,22981,秦詠,
159,秦定,子,22982,秦規,
160,秦梓,弟,8008,秦檜,
160,秦梓,父,13038,秦敏學,
164,楚建中,兄,49327,楚□中,
165,權邦彥,父,13615,權經,
167,詹太和,父,13338,詹安,
167,詹太和,兄,13339,詹至,
168,詹大方,子,3116,詹徽之,
168,詹大方,父,3117,詹良臣,
