荆门
巴东
泸州
杞县
成都
庐山
九江
宜昌
眉山 (出生地)
尉氏
雅安
涪陵
万州
终南山
宝鸡
赣州
荆州
西安
峨眉山
重庆
襄城
大圣慈寺
奉节
秭归
许昌
华山
函谷关
丰都
犍为
灵宝
眉县
德阳
钟祥
巫山
剑阁
扶风
宜宾
华阴
乐山
临潼
渑池
偃师
叶县
合江
三游洞
唐河
开封
襄阳
郑州
